Num Nodes,Speed (m/s),Src-Dst Distance (m),PDR (%),E2E Delay Mean (s),E2E Delay Median (s),E2E Delay Std (s),E2E Delay Min (s),E2E Delay Max (s),Estimated Throughput (bps),Avg Reward Closer (+1),Avg Reward Stationary (0),Avg Reward Away (-1),Avg Success Rate Closer (+1),Avg Success Rate Stationary (0),Avg Success Rate Away (-1),Min Remaining Energy (%),Max Hops Used,Avg Initial TTL,Avg Final TTL,Simulation Duration (s)
100,20,598.0061111727872,100.0,2.8732011900000005,2.9331815,1.1236241568863763,0.366166,5.605251,22851.070200206555,,,,,,,99.97000000000043,0,30.0,30.0,14.493850708007812
100,25,357.5907992384591,100.0,2.15748017,1.9815995,0.8503658799081018,0.2695,4.44758,25915.92766176888,,,,,,,99.97000000000043,0,30.0,30.0,12.779785633087158
100,30,655.3620646634957,100.0,5.874427460000001,5.358286,2.880801711447397,0.693712,11.839757,18143.812800990425,,,,,,,99.97000000000043,0,30.0,30.0,18.254156589508057
100,35,1068.070291038937,100.0,3.64348861,3.7450134999999998,1.2227321627192187,1.365184,6.429163,24981.09468801098,,,,,,,99.97000000000043,0,30.0,30.0,13.258025884628296
100,40,1008.1797111626478,100.0,4.39833175,4.228463,1.6937312216059415,1.221704,8.308066,22837.936575617867,,,,,,,99.97000000000043,0,30.0,30.0,14.502185821533203
200,20,821.8822598158448,100.0,4.353986,4.2811924999999995,1.6235947735245273,1.272248,7.784438,11165.0586710446,,,,,,,99.97000000000043,0,30.0,30.0,29.663973093032837
200,25,733.0691938009672,100.0,5.68750996,5.848663999999999,1.9433634193962626,0.794271,10.240024,10890.777219230878,,,,,,,99.97000000000043,0,30.0,30.0,30.411052703857422
200,30,773.3473898578827,100.0,6.237312960000001,6.92941,2.5582487328359305,0.787056,10.600611,10660.126125209692,,,,,,,99.97000000000043,0,30.0,30.0,31.069050788879395
200,35,721.234687324452,100.0,6.324400519999999,6.3434585000000006,2.307082014022827,1.775541,10.63649,10451.104349397685,,,,,,,99.97000000000043,0,30.0,30.0,31.690430879592896
200,40,1040.9385525572584,100.0,9.655602180000002,9.7102245,2.9188307270367093,3.237372,15.117266,9379.676895097131,,,,,,,99.97000000000043,0,30.0,30.0,35.31038475036621
300,20,591.6715904114376,100.0,5.457071699999999,5.280025500000001,2.1070547697710467,1.302477,9.879383,5834.9392336171495,,,,,,,99.97000000000043,0,30.0,30.0,56.76151657104492
300,25,615.1926447057051,100.0,7.4471979500000005,7.220212,3.3581651001943036,1.625016,16.630388,5285.857215091384,,,,,,,99.97000000000043,0,30.0,30.0,62.65776515007019
300,30,282.8365436077877,100.0,10.600872990000003,10.988165500000001,5.020762626212669,1.853052,22.729413,4926.107787691447,,,,,,,99.97000000000043,0,30.0,30.0,67.23360800743103
300,35,758.1732472858695,100.0,16.17799056,16.175809,6.243286800183888,3.541263,27.554309,4527.484702320542,,,,,,,99.96960000000043,0,30.0,30.0,73.15320134162903
300,40,1066.4349282539465,100.0,32.66619283,34.675855999999996,9.580774768164297,5.334475,59.345601,2524.301210069354,,,,,,,99.97000000000043,0,30.0,30.0,131.2046275138855
400,20,422.31756428071986,100.0,15.714971079999998,15.3915735,8.021049231681825,2.749084,34.249944,1752.692010079129,,,,,,,99.97000000000043,0,30.0,30.0,188.96645736694336
